Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
38,3201 105 2023 012 029 1,3201,12/29/2023,CUACA EKSTREM,Kec. Ciomas Ds. Ciomas Rahayu Kec. Ciampea  Ds. Cibanteng,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,2,,0
39,1572 101 2023 012 029 1,1572,12/29/2023,BANJIR,Kec Kumun Debai,KOTA SUNGAI PENUH,JAMBI,Dokumentasi,,,,,0,2677,44
40,1401 101 2023 012 029 1,1401,12/29/2023,BANJIR,Kec. Bangkinang Kota Ds. Pasir Sialang Kec. Kampar Ds. Ranah Kec. Kampar Utara Ds. Kampung Panjang,KAMPAR,RIAU,Dokumentasi,,,,,0,728,3
41,3204 105 2023 012 029 1,3204,12/29/2023,CUACA EKSTREM,Kec. Cimenyan Ds. Mekarsaluyu,BANDUNG,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,171,,3
42,3404 105 2023 012 029 1,3404,12/29/2023,CUACA EKSTREM,KEC Godean KEL Sidoarum,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,1
43,1410 101 2023 012 029 1,1410,12/29/2023,BANJIR,Kec. Tebung Tinggi Ds.  Sungai Tohor,KEPULAUAN MERANTI,RIAU,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,86,0
44,1402 101 2023 012 029 1,1402,12/29/2023,BANJIR,Kec. Rakit Kulim Ds. Petongan Ds. Batu Sawar Ds. Kampung Bunga Ds. Koto Baru Kec. Lirik Ds. Pasir Ringgit Kec. Rengat Barat Ds. Redan Kec. Sungai Lala Ds. Kuala Lala,INDRAGIRI HULU,RIAU,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,1848,24
45,3207 105 2023 012 029 1,3207,12/29/2023,CUACA EKSTREM,Kec. Rancah Ds. Situmandala Ds. Mekarjadi,CIAMIS,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,2,,0
46,3272 105 2023 012 029 1,3272,12/29/2023,CUACA EKSTREM,Kec. Lembursitu Ds. Lembursitu Kec. Cikole Ds. Subangjaya,KOTA SUKABUMI,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,2,,0
47,3217 105 2023 012 029 1,3217,12/29/2023,CUACA EKSTREM,Kec. Parongpong Ds. Karyawangi,BANDUNG BARAT,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi Disertai angin kencang,,,,3,,0
