Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
3124,6172 107 2023 06 024 1,6172,6/24/2023,KEBAKARAN HUTAN DAN LAHAN,SINGKAWANG SELATAN,KOTA SINGKAWANG,KALIMANTAN BARAT,Dokumentasi,,,,,0,,0
3125,3271 105 2023 06 024 1,3271,6/24/2023,CUACA EKSTREM,Kec. Bogor Utara Ds. Bantarjati,KOTA BOGOR,JAWA BARAT,Dokumentasi,,,,,1,,0
3126,3201 102 2023 06 024 1,3201,6/24/2023,TANAH LONGSOR,Kec. Cigudeg  Ds. Mekarjaya,BOGOR,JAWA BARAT,Dokumentasi,●hujan deras dengan intensitas tinggi,,,,1,,0
3127,6204 107 2023 06 024 1,6204,6/24/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Jenamas,BARITO SELATAN,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3128,1113 105 2023 06 024 1,1113,6/24/2023,CUACA EKSTREM,Kec. Terangun Ds. Makmur Jaya Ds. Padang,GAYO LUES,ACEH,Dokumentasi,"●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang yang terjadi pada hari Sabtu, 24 Juni 2023, Pkl. 16:00 WIB",,,,6,,1
3129,7302 101 2023 06 024 1,7302,6/24/2023,BANJIR,Kec. Ujung Loe Ds. Manyampa Ds. Manjalling,BULUKUMBA,SULAWESI SELATAN,Dokumentasi,●hujan dengan intensitas tinggi,,,,0,168,0
3130,1504 107 2023 06 024 1,1504,6/24/2023,KEBAKARAN HUTAN DAN LAHAN,"Kec. Muaro Tembesi & Rantau Kepas Mudo, Kec. Muaro Tembesi & Sungai Pulai",BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
3131,7212 101 2023 06 023 1,7212,6/23/2023,BANJIR,KEC Bungku Barat DESA Wosu,MOROWALI UTARA,SULAWESI TENGAH,Dokumentasi,"Intensitas curah hujan tinggi sejak pukul 19.30 WITA menyebabkan sungai Baho Mokohoni, sungai Reo, sungai Bahomansu Desa Wosu, meluap ke pemukiman warga",,,,49,,1
3132,1305 105 2023 06 023 1,1305,6/23/2023,CUACA EKSTREM,Kec. Nan Sabaris Ds. Kuraitaji,PADANG PARIAMAN,SUMATERA BARAT,Dokumentasi,●Dipicu oleh cuaca ekstrim,,,,1,,0
3133,1207 105 2023 06 023 1,1207,6/23/2023,CUACA EKSTREM,Kec. Pancur Batu Ds. Tanjung Anom,DELI SERDANG,SUMATERA UTARA,Dokumentasi,●dipicu hujan dengan intesitas tinggi,,,,2,,0
3134,6202 107 2023 06 023 1,6202,6/23/2023,KEBAKARAN HUTAN DAN LAHAN,KEC M.B Ketapang,KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3135,1207 101 2023 06 023 1,1207,6/23/2023,BANJIR,,DELI SERDANG,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3136,3310 107 2023 06 023 1,3310,6/23/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Wonosari Ds. Bulan Kec. Ceper Ds. Kurung,KLATEN,JAWA TENGAH,Dokumentasi,●Dalam proses penyelidikan,,,,0,,0
3137,3308 106 2023 06 022 1,3308,6/22/2023,KEKERINGAN,Kec. Mertoyudan Ds. Bulurejo,MAGELANG,JAWA TENGAH,Dokumentasi,●Akbiat Musim kemarau,,,,0,,0
3138,1104 107 2023 06 022 1,1104,6/22/2023,KEBAKARAN HUTAN DAN LAHAN,kec. Linge Kp. Kute,ACEH TENGAH,ACEH,Dokumentasi,●Masih dalam Penyelidikan,,,,0,,0
3139,3210 107 2023 06 022 1,3210,6/22/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Cigasong Ds. Baribis,MAJALENGKA,JAWA BARAT,Dokumentasi,,,,,0,,0
3140,6204 107 2023 06 022 1,6204,6/22/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Jenamas,BARITO SELATAN,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3141,3201 105 2023 06 022 1,3201,6/22/2023,CUACA EKSTREM,Kec. Cibinong  Ds. Pabuaran,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,1,,0
3142,1108 105 2023 06 022 1,1108,6/22/2023,CUACA EKSTREM,Seunuddon,ACEH UTARA,ACEH,Dokumentasi,Cuaca Ekstrem,1,,,0,,0
3143,3310 106 2023 06 022 1,3310,6/22/2023,KEKERINGAN,Kec. Kemalang Ds. Kendalsari,KLATEN,JAWA TENGAH,Dokumentasi,●Akibat musim kemarau,,,,0,,0
3144,1704 102 2023 06 021 1,1704,6/21/2023,TANAH LONGSOR,KEC LUAS DESA DURIAN BESAR,KAUR,BENGKULU,Dokumentasi,,1,,,0,,0
3145,6372 107 2023 06 021 1,6372,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Banjar Baru Utara Kel. Sungai Ulin Kel. Guntung Manggis,KOTA BANJARBARU,KALIMANTAN SELATAN,Dokumentasi,●cuaca panas,,,,0,,0
3146,1106 107 2023 06 021 1,1106,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Blang Bintang Ds. Blang Bintang,ACEH BESAR,ACEH,Dokumentasi,●Akibat kemarau panjang,,,,0,,0
3147,1104 107 2023 06 021 1,1104,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Celala Kp. Blang Kekumur,ACEH TENGAH,ACEH,Dokumentasi,●Akibat kemarau panjang,,,,0,,0
3148,3514 107 2023 06 021 1,3514,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kab. Pasuruan Kec. Prigen   Ds. Pecalukan,PASURUAN,JAWA TIMUR,Dokumentasi,●Masih dalam Penyelidikan,,,,0,,0
3149,1401 107 2023 06 021 1,1401,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Tapung Ds. Sei Putih Ds. Karya Indah Kec. Salo Ds. Salo,KAMPAR,RIAU,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
3150,1506 107 2023 06 021 1,1506,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Betara  Ds. Pematang Lumut,TANJUNG JABUNG BARAT,JAMBI,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
3151,1201 107 2023 06 021 1,1201,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,,TAPANULI TENGAH,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3152,1212 107 2023 06 021 1,1212,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,,TOBA,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3153,1117 107 2023 06 021 1,1117,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bukit Ds. Paya Kolak Kec. Bandar Ds. Mangku,BENER MERIAH,ACEH,Dokumentasi,●Akibat kemarau panjang,,,,0,,0
3154,1221 107 2023 06 021 1,1221,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,,PADANG LAWAS,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3155,3310 107 2023 06 021 1,3310,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Wonosari Desa Pandanan,KLATEN,JAWA TENGAH,Dokumentasi,"WAKTU KEJADIAN Kamis, 21 Juni 2023, pukul 18.00  LOKASI KEJADIAN  Ds Pandanan Kecamatan Wonosari   SEBAB Pembakaran Sampah Yang Tidak Terkontrol   DAMPAK Api Telah Mebakar Kurang Lebih 2 Petak Lahan Dengan Luas Kurang Lebih 4.300 M2  UPAYA PENANGANAN  DAMKAR Kab. Klaten dibantu beberapa komponen dari komunitas Relawan Kebencanaan melakukan upaya pemadaman api dengan menggunakan 2 (dua) unit mobil pemadam dengan penggunaan air diperkirakan 8000 liter. Pemadaman dapat dilakukan sekitar 2 (dua) jam.",,,,0,,0
3156,1901 107 2023 06 021 1,1901,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,LINGKUNGAN BEDENG AKE KEL.SINAR JAYA,BANGKA,KEPULAUAN BANGKA BELITUNG,Dokumentasi,PENYEBAB KEBAKARAN BELUM DIKETAHUI,,,,0,,0
3157,6202 107 2023 06 021 1,6202,6/21/2023,KEBAKARAN HUTAN DAN LAHAN,KEC M.B Ketapang,KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3158,3301 106 2023 06 021 1,3301,6/21/2023,KEKERINGAN,Kec. Kawunganten Ds. Bojong,CILACAP,JAWA TENGAH,Dokumentasi,●Akibat musim kemarau,,,,0,,0
3159,3314 106 2023 06 021 1,3314,6/21/2023,KEKERINGAN,Kec. Sumberlawang Ds. Ngargosari Kec. Tangen Ds. Dukuh,SRAGEN,JAWA TENGAH,Dokumentasi,●Akibat musim kemarau,,,,0,,0
3160,3271 105 2023 06 021 1,3271,6/21/2023,CUACA EKSTREM,Kec. Bogor Barat Ds. Cilendek Barat Ds. Cilendek Timur,KOTA BOGOR,JAWA BARAT,Dokumentasi,,,,,1,,1
3161,8201 101 2023 06 021 1,8201,6/21/2023,BANJIR,SAHU TIMUR,HALMAHERA BARAT,MALUKU UTARA,Dokumentasi,,,,,0,,2
3162,3201 102 2023 06 020 1,3201,6/20/2023,TANAH LONGSOR,Kec. Nanggung  Ds. Nanggung,BOGOR,JAWA BARAT,Dokumentasi,"●hujan deras dengan intensitas tinggi yang cukup lama, sehingga mengakibatkan beberapa TPT  dan rumah terdampak di beberapa titik yang berbeda. Dengan Rincian: Rumah terdampak pada bagian dinding rumah, lantai dan atap",,,,5,,0
3163,1117 107 2023 06 020 1,1117,6/20/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bukit Mulie Balohan Ds. Timang Gajah Kec. Bukit Ds. Bale Redelong,BENER MERIAH,ACEH,Dokumentasi,,,,,0,,0
3164,3374 106 2023 06 020 1,3374,6/20/2023,KEKERINGAN,Kec. Banyumanik Kel. Jabung,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,●Akibat sumber mata air yang keruh dan mengandung zat kapur,,,,0,,0
3165,3509 106 2023 06 020 1,3509,6/20/2023,KEKERINGAN,Kec. Patrang Ds. Patrang,JEMBER,JAWA TIMUR,Dokumentasi,"●Akibat tidak mengalami hujan atau kemarau selama 3 minggu, menyebabkan Wilayah Lingkungan Darungan Cangkring Kel Patrang mengalami kekeringan. ●Sumber mata air mengecil , sungai dan sumur warga mengalami kekeringan. Untuk memenuhi kebutuhan air bersih setiap harinya, warga yg terdampak harus berjalan kaki ± 700 m menuju sungai, baik untuk mandi , memasak dan minum",,,,0,,0
3166,3201 102 2023 06 020 1,3201,6/20/2023,TANAH LONGSOR,Kec. Leuwiliang Ds. Cibeber 2 Kec. Caringin Ds. Ciderum,BOGOR,JAWA BARAT,Dokumentasi,●Akibat hujan yg cukup lama sehingga  menyebabkan TPT ambruk yang  menimpa 1 unit rumah,,,,1,,0
3167,1116 107 2023 06 020 1,1116,6/20/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Seruwai  Gp. Alur Ulim,ACEH TAMIANG,ACEH,Dokumentasi,,,,,0,,0
3168,3201 105 2023 06 020 1,3201,6/20/2023,CUACA EKSTREM,Kec. Jasinga Ds. Pamagersari,BOGOR,JAWA BARAT,Dokumentasi,●Hujan deras dengan durasi cukup lama dan disertai angin kencang,,,,1,,0
3169,7602 101 2023 06 020 1,7602,6/20/2023,BANJIR,Kec. Simboro  Ds. Salletto Kec. Tapalang Ds. Botteng Utara,MAMUJU,SULAWESI BARAT,Dokumentasi,"●Hari Selasa tanggal 20 Juni 2023 Pukul 12.00 WITA, Hujan deras mengguyur wilayah Kabupaten Mamuju hingga pada pukul 14.00 WITA mengakibatkan banjir di Wilayah Simboro khususnya di Desa Salletto, hujan tersebut berlangsung cukup lama dari siang hingga sore hari pukul 16.00 WITA yang mengakibatkan daerah tersebut hingga saat ini terendam air hingga ketinggian air kurang lebih 1 meter dari permukaan tanah.",,,,8,100,0
3170,1104 107 2023 06 020 1,1104,6/20/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Silih Nara  Kp. Arul Kumer Barat  Kec. Lut Tawar Ds. Rawe,ACEH TENGAH,ACEH,Dokumentasi,"●Akibat kemarau panjang di kab.Aceh Tengah beberapa bulan belakangan ini, mengakibatkan beberapa titik terpantau terjadi karhutla. Hari ini, karhutla terjadi di Kp. Arul Kumer Barat dan telah berhasil dipadamkan",,,,0,,0
3171,3204 102 2023 06 019 1,3204,6/19/2023,TANAH LONGSOR,Kec. Pangalengan  Ds. Margaluyu,BANDUNG,JAWA BARAT,Dokumentasi,●hujan dengan intensitas tinggi,,,,1,,0
3172,1104 107 2023 06 019 1,1104,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Ketol Kp. Karang Ampar Kec. Bebesan Kp. Bahgie Kec. Pegasingan  Kp. Kayu Kul Kec. Kebayakan  Kp. Paya Reje,ACEH TENGAH,ACEH,Dokumentasi,●akibat kemarau panjang,,,,0,,0
3173,6211 107 2023 06 019 1,6211,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Kahayan Kuala,PULANG PISAU,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3174,3201 105 2023 06 019 1,3201,6/19/2023,CUACA EKSTREM,Kec. Cibinong Kel. Naggewer,BOGOR,JAWA BARAT,Dokumentasi,●Akibat Hujan deras disertai angin kencang,,,,12,,0
3175,3204 105 2023 06 019 1,3204,6/19/2023,CUACA EKSTREM,Kec. Arjasari  Ds. Patrolsari,BANDUNG,JAWA BARAT,Dokumentasi,●hujan dengan intensitas tinggi disertai angin kencang,,,,9,,0
3176,3203 101 2023 06 019 1,3203,6/19/2023,BANJIR,Kec. Kadupandak Ds. Kadupandak,CIANJUR,JAWA BARAT,Dokumentasi,,,,,3,6,0
3177,1117 107 2023 06 019 1,1117,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Wih Pesam  Ds. Pante Raya Kec. Timang Gajah Ds. Simpang Layang Ds. Wonosobo,BENER MERIAH,ACEH,Dokumentasi,●belum diketahui,,,,0,,0
3178,9601 101 2023 06 019 1,9601,6/19/2023,BANJIR,Distrik. Salawati Kampung. Walal,SORONG,PAPUA BARAT DAYA,Dokumentasi,"●hujan dengan intensitas tinggi sejak 15 Juni 2023 mengakibatkan terjadinya banjir pada hari Selasa, 20 Juni 2023, Pkl. 03.00 WIT",,,,0,64,0
3179,6102 107 2023 06 019 1,6102,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,MEMPAWAH TIMUR,MEMPAWAH,KALIMANTAN BARAT,Dokumentasi,,,,,0,,0
3180,3201 105 2023 06 019 1,3201,6/19/2023,CUACA EKSTREM,Kec. Sukaraja  Ds. Pasir Jambu,BOGOR,JAWA BARAT,Dokumentasi,●Disebabkan hujan dengan intensitas tinggi disertai Angin Kencang sehingga menyebabkan beberapa unit rumah mengalami kerusakan pada bagian atap,,,,8,,0
3181,3203 102 2023 06 019 1,3203,6/19/2023,TANAH LONGSOR,Kec. Pagelaran  Ds. Bunijaya Ds. Pagelaran,CIANJUR,JAWA BARAT,Dokumentasi,"●Pada hari Senin, 19 Juni 2023 sekitar pukul 13.00 WIB - 19.00 WIB Wilayah Desa Bunijaya Kecamatan Pagelaran diguyur hujan deras yang berangsur lama, sehingga sekitar pukul 16.00 WIB terjadi Tanah Longsor di Kp. Citajur 001/004 dan Kp. Cibadak 002/004 Desa Bunijaya Kecamatan Pagelaran, akibat kejadian tersebut 5 Unit rumah 1 mushola mengalami kerusakan dan 3 titik longsoran yang menutup jalan penghubung yang merupakan akses utama Bunijaya, Pangadegan dan Situhiang.",,,,8,,1
3182,3202 102 2023 06 019 1,3202,6/19/2023,TANAH LONGSOR,Kec. Cicurug Ds. Cicurug  Kec. Cikidang  Ds. Nangkakoneng  Kec. Nagrak  Ds. Cihanyawar,SUKABUMI,JAWA BARAT,Dokumentasi,●hujan deras dengan intensitas tinggi,,,,11,,0
3183,1904 105 2023 06 019 1,1904,6/19/2023,CUACA EKSTREM,DESA TANJUNG GUNUNG JL.PASIR RAYA RT 08 KEC.PANGKALAN BARU,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,Dokumentasi,HUJAN DISERTAI ANGIN KENCANG,,,,1,,0
3184,1105 107 2023 06 019 1,1105,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Woyla  Gp. Lung Teungku Yah,ACEH BARAT,ACEH,Dokumentasi,●Belum di ketahui masih dalam penyelidikan,,,,0,,0
3185,1401 107 2023 06 019 1,1401,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. XIII Kota Kampar  Ds. Balung,KAMPAR,RIAU,Dokumentasi,●belum diketahui,,,,0,,0
3186,1106 107 2023 06 019 1,1106,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Seulimum Gp. Alue Glong Kec. Sukamakmur  Gp. Gampong Tampok Jeurat Raya,ACEH BESAR,ACEH,Dokumentasi,●masih dalam penyelidikan,,,,0,,0
3187,2101 107 2023 06 019 1,2101,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bintan Timur Ds. Jl. Batu Licin Bukit Tolo Kel.Gn. Lengkuas,BINTAN,KEPULAUAN RIAU,Dokumentasi,,,,,0,,0
3188,1220 107 2023 06 019 1,1220,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,,PADANG LAWAS UTARA,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3189,1216 107 2023 06 019 1,1216,6/19/2023,KEBAKARAN HUTAN DAN LAHAN,,HUMBANG HASUNDUTAN,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3190,3201 101 2023 06 019 1,3201,6/19/2023,BANJIR,Kec. Sukaraja Ds. Cimandala,BOGOR,JAWA BARAT,Dokumentasi,,,,,1,3,0
3191,1504 107 2023 06 018 1,1504,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Maro Sebo & Teluk Leban,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
3192,3512 107 2023 06 018 1,3512,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bungatan Ds. Pasir Putih,SITUBONDO,JAWA TIMUR,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
3193,6107 107 2023 06 018 1,6107,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,"MONTERADO, SAMLANTAN",BENGKAYANG,KALIMANTAN BARAT,Dokumentasi,,,,,0,,0
3194,6503 101 2023 06 018 1,6503,6/18/2023,BANJIR,Kec. Lumbis Ds. Pa’lo Ds. Patai I Ds. Taluan Ds. Pulu Bulawan Ds. Podong Ds. Mansalong Ds. Kalampising Kec. Sembakung Atulai Ds. Liuk Bulu Ds. Binanun  Ds. Pulau Keras Ds. Lubok Buat Kec. Sembakung Ds. Tagul Ds. Lubakan Ds. Manuk Bungkul Ds. Tujung Ds. Labuk,NUNUKAN,KALIMANTAN UTARA,Dokumentasi,"●Intensitas curah hujan yang tinggi yang terjadi beberapa hari secara berturut turut.  ●Luapan Air sungai Sembakung kondisi tinggi muka air maksimal mencapai 9.7 m, dengan muatan material seperti Kayu, ranting, lumpur dan pasir.  ●Adanya pendangkalan Sungai Sembakung  ●Banjir Kiriman dari Negara Malaysia",,,,0,482,0
3195,6211 107 2023 06 018 1,6211,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Kahayan Kuala,PULANG PISAU,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3196,1506 107 2023 06 018 1,1506,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Batang Asam Kel. Dusun Kebun,TANJUNG JABUNG BARAT,JAMBI,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
3197,1106 107 2023 06 018 1,1106,6/18/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Lembah Selawah Ds. Blang Hura Lamtamot,ACEH BESAR,ACEH,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
3198,3512 107 2023 06 017 1,3512,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Banyuputih  Ds. Sumberanyar,SITUBONDO,JAWA TIMUR,Dokumentasi,Dalam proses penyelidikan,,,,0,,0
3199,1401 107 2023 06 017 1,1401,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kampar Utara Ds. Muara Jalai,KAMPAR,RIAU,Dokumentasi,Dalam proses penyelidikan,,,,0,,0
3200,6201 107 2023 06 017 1,6201,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Kumai,KOTAWARINGIN BARAT,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3201,1106 105 2023 06 017 1,1106,6/17/2023,CUACA EKSTREM,Kec. Darul Imarah Ds. Bayu Kec. Mesjid Raya Ds. Lamreh Kec. Peukan Bada Ds. Keuneu eu,ACEH BESAR,ACEH,Dokumentasi,●Dipicu hujan dengan intensitas tinggi disertai angin kencang,,,,3,,0
3202,6101 107 2023 06 017 1,6101,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,PALOH,SAMBAS,KALIMANTAN BARAT,Dokumentasi,,,,,0,,0
3203,1905 105 2023 06 017 1,1905,6/17/2023,CUACA EKSTREM,Kec. Kelapa Ds. Beruas,BANGKA BARAT,KEPULAUAN BANGKA BELITUNG,Dokumentasi,●Dipicu hujan dengan intensitas tinggi disertai angin kencang,,,,12,,0
3204,1504 107 2023 06 017 1,1504,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Mersam & Pematang Gedung,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
3205,1217 107 2023 06 017 1,1217,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,,SAMOSIR,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3206,1220 107 2023 06 017 1,1220,6/17/2023,KEBAKARAN HUTAN DAN LAHAN,,PADANG LAWAS UTARA,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3207,2102 107 2023 06 016 1,2102,6/16/2023,KEBAKARAN HUTAN DAN LAHAN,"Kec. Karimun Ds. Bukit Cincin,belakang kantor BKPSDM Kab.Karimun",KARIMUN,KEPULAUAN RIAU,Dokumentasi,,,,,0,,0
3208,3201 105 2023 06 016 1,3201,6/16/2023,CUACA EKSTREM,Kec. Cigudeg Ds. Cintamanik,BOGOR,JAWA BARAT,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,2,,0
3209,6306 105 2023 06 016 1,6306,6/16/2023,CUACA EKSTREM,Kec. Simpur Ds. Kapuh,HULU SUNGAI SELATAN,KALIMANTAN SELATAN,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,1,,0
3210,3201 105 2023 06 016 1,3201,6/16/2023,CUACA EKSTREM,Kec. Sukajaya Ds. Sipayung,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu hujan dengan intensitas tinggi disertai angin kencang,,,,12,,0
3211,8204 101 2023 06 016 1,8204,6/16/2023,BANJIR,OBI,HALMAHERA SELATAN,MALUKU UTARA,Dokumentasi,,,,,0,121,0
3212,5208 106 2023 06 016 1,5208,6/16/2023,KEKERINGAN,"Kec. Gangga Ds. Genggelang, Rempek Kec. Kayangan Ds. Gumantar, Salut, Selengen Kec. Bayan Ds. Andalan, Gunjan Sari, Akar-akar, Mumbul Dari Kec. Tanjung Ds. Sokong",LOMBOK UTARA,NUSA TENGGARA BARAT,Dokumentasi,●Dipicu oleh berkurangnya sumber air bersih akibat musim kemarau,,,,0,,0
3213,5201 106 2023 06 016 1,5201,6/16/2023,KEKERINGAN,"Kec. Sekotong Ds. Sekotong Tengah, Sekotong Barat, Kedaro, Cendi Manik, Pelagan Kec. Lembar Ds. Labuan Tereng, Jembatan Gantung, Sekotong Timur Kec. Gerung Ds. Banyu Urip, Tempos Kec. Kuripan Ds. Giri Sasak, Kuripan Selatan, Kuripan Timur Kec. Batu Layar Ds. Batulayar Barat, Bengkaung, Penanggak",LOMBOK BARAT,NUSA TENGGARA BARAT,Dokumentasi,●Dipicu oleh berkurangnya sumber air bersih akibat musim kemarau,,,,0,,0
3214,7111 101 2023 06 016 1,7111,6/16/2023,BANJIR,Kec. Bolaang Uki Ds. Tolondadu Ds. Tolondadu II Kec. Pinolosian Tengah Ds. Tobayagan Ds. Mataindo Ds. Mataindo Utara Kec. Pinolosian Timur Ds. Posilagon,BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,Dokumentasi,"Dipicu oleh intensitas curah hujan yang cukup tinggi dan berangsur lama yang terjadi sejak hari Kamis, 15 Juni 2023, pkl. 04:30 WITA hingga hari Jumat, 16 Juni 2023, pkl. 10:00 WITA sehingga menyebabkan banjir",,,,0,557,0
3215,6204 107 2023 06 016 1,6204,6/16/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Dusun selatan,BARITO SELATAN,KALIMANTAN TENGAH,Dokumentasi,,,,,0,,0
3216,8271 101 2023 06 016 1,8271,6/16/2023,BANJIR,TERNATE SELATAN,KOTA TERNATE,MALUKU UTARA,Dokumentasi,,,,,1,,0
3217,3277 101 2023 06 016 1,3277,6/16/2023,BANJIR,Kec. Cimahi Selatan Kel. Leuwi Gajah Kel. Utama,KOTA CIMAHI,JAWA BARAT,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,1,14,1
3218,3374 107 2023 06 016 1,3374,6/16/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pedurungan Desa Pedurungan Tengah,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,"WAKTU KEJADIAN Jumat, 16 Juni 2023 Pukul 12.30 WIB  LOKASI KEJADIAN Jl. Jaten Baru RT 002 RW 008 Kel. Pedurungan Tengah Kec. Pedurungan  SEBAB Penyebab dalam proses penyidikan  DAMPAK Lahan kosong dengan luas 30 x 200 m terbakar  UPAYA PENANGANAN BPBD melakukan asessment ke lokasi terdampak; Warga berkoordinasi dengan Ketua RT, RW, serta kelurahan/kecamatan menghubungi BPBD serta instansi terkait.",,,,0,,0
3219,1211 107 2023 06 016 1,1211,6/16/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Silahi Sabungan Ds. Paropo,DAIRI,SUMATERA UTARA,Dokumentasi,Masih dalam penyelidikan.,,,,0,,0
3220,1106 107 2023 06 016 1,1106,6/16/2023,KEBAKARAN HUTAN DAN LAHAN,"Lembah Seulawah, Desa bukit gajah",ACEH BESAR,ACEH,Dokumentasi,,,,,0,,0
3221,1117 107 2023 06 015 1,1117,6/15/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bukit Ds. Panji Mulia,BENER MERIAH,ACEH,Dokumentasi,Dalam proses penyelidikan,,,,0,,0
3222,1206 107 2023 06 015 1,1206,6/15/2023,KEBAKARAN HUTAN DAN LAHAN,,KARO,SUMATERA UTARA,Dokumentasi,,,,,0,,0
3223,8171 101 2023 06 015 1,8171,6/15/2023,BANJIR,Kec. Nusaniwe Kel. Latulahat,KOTA AMBON,MALUKU,Dokumentasi,"●Dipicu hujan dengan intensitas sedang hingga lebat disertai struktur tanah yang labil sehingga mengakibatkan terjadinya tanah longsor pada hari Kamis, 15 Juni 2023, Pkl. 02:00 WIT",,,,17,35,0
3224,2104 105 2023 06 015 1,2104,6/15/2023,CUACA EKSTREM,Kec. Senayang Ds.  Senayang,LINGGA,KEPULAUAN RIAU,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,6,,0
